Category,language_code,ISO_639,Num_Words,Num_Sources,Num_Sections,Num_Images,Page_Views,Edits_30_Days,Num_Links_to_Wikipedia,URL,Original_Topic,date,language
Public Health,als,als,113,1,3,4,50,0,5,https://als.wikipedia.org/wiki/Weltgesundheitsorganisation,World_Health_Organization,2/5/2015,Alemannic
Climate Change,am,amh,1771,0,0,0,38,0,2,https://am.wikipedia.org/wiki/%E1%8B%A8%E1%8B%93%E1%88%88%E1%88%9D_%E1%88%98%E1%88%9E%E1%89%85,Climate_change,5/7/2012,Amharic
Public Health,am,amh,12,0,1,0,41,0,2,https://am.wikipedia.org/wiki/%E1%8A%AE%E1%89%AA%E1%8B%B5_19,COVID-19,23/5/2021,Amharic
Public Health,am,amh,16,0,0,2,63,0,4,https://am.wikipedia.org/wiki/%E1%8B%A8%E1%8A%A0%E1%88%88%E1%88%9D_%E1%8C%A4%E1%8A%93_%E1%8B%B5%E1%88%AD%E1%8C%85%E1%89%B5,World_Health_Organization,25/3/2018,Amharic
Public Health,ami,ami,1373,0,7,3,42,0,5,https://ami.wikipedia.org/wiki/%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E,COVID-19,23/7/2022,Amis
Biodiversity Conservation,an,arg,717,1,5,8,28,0,35,https://an.wikipedia.org/wiki/Biodiversidat,Biodiversity,5/11/2014,Aragonese
Climate Change,an,arg,348,12,1,8,170,0,45,https://an.wikipedia.org/wiki/Escalfamiento_global,Climate_change,29/8/2009,Aragonese
Biodiversity Conservation,an,arg,147,0,2,5,16,0,15,https://an.wikipedia.org/wiki/Estau_de_conservaci%C3%B3n_d%27especies,Conservation_status,21/8/2007,Aragonese
Public Health,an,arg,149,2,6,9,50,0,24,https://an.wikipedia.org/wiki/COVID-19,COVID-19,28/2/2020,Aragonese
Biodiversity Conservation,an,arg,295,2,4,7,16,0,21,https://an.wikipedia.org/wiki/Especie_en_periglo_d%27extinci%C3%B3n,Endangered_species,11/10/2009,Aragonese
Biodiversity Conservation,an,arg,75,0,1,6,22,0,14,https://an.wikipedia.org/wiki/Endemismo,Endemism,8/10/2019,Aragonese
Biodiversity Conservation,an,arg,295,3,2,5,20,0,17,https://an.wikipedia.org/wiki/Extinci%C3%B3n,Extinction,2/11/2023,Aragonese
Biodiversity Conservation,an,arg,158,2,1,6,13,0,20,https://an.wikipedia.org/wiki/Selva_pluvial,Rainforest,13/1/2009,Aragonese
Public Health,an,arg,86,0,1,6,14,0,9,https://an.wikipedia.org/wiki/Asistencia_sanitaria_universal,Universal_health_care,24/2/2015,Aragonese
Public Health,an,arg,122,0,1,7,44,0,12,https://an.wikipedia.org/wiki/Organizaci%C3%B3n_Mundial_d%27a_Salut,World_Health_Organization,29/3/2009,Aragonese
Climate Change,ang,ang,18,0,0,1,74,0,2,https://ang.wikipedia.org/wiki/Woruldlicu_wearmung,Climate_change,28/5/2007,Old English
Public Health,ang,ang,33,0,0,2,54,0,3,https://ang.wikipedia.org/wiki/Wuhanes_feforadl,COVID-19,17/12/2020,Old English
Climate Change,anp,anp,4,0,0,0,11,0,2,https://anp.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%B6%E0%A5%8D%E0%A4%B5%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AA%E0%A5%80_%E0%A4%A4%E0%A4%BE%E0%A4%AA%E0%A4%AE%E0%A4%BE%E0%A4%A8_%E0%A4%AE%E0%A5%91_%E0%A4%B5%E0%A5%83%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF,Climate_change,11/10/2015,Angika
Public Health,anp,anp,1167,8,7,1,NA,NA,9,https://anp.wikipedia.org/wiki/%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE%E0%A4%B5%E0%A4%BE%E0%A4%AF%E0%A4%B0%E0%A4%B8_%E0%A4%B0%E0%A5%8B%E0%A4%97_2019,COVID-19,30/4/2022,Angika
Climate Change,ar,arq,380,16,5,17,9,0,164,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A_%D9%84%D8%B3%D9%86%D8%A9_2020,2020_in_climate_change,5/4/2021,Arabic
Climate Change,ar,arq,25,20,9,12,5,0,86,https://ar.wikipedia.org/wiki/%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE_%D9%81%D9%8A_2021,2021_in_climate_change,5/4/2021,Arabic
Climate Change,ar,arq,22,13,4,8,7,0,25,https://ar.wikipedia.org/wiki/%D9%85%D8%AC%D8%B1%D9%8A%D8%A7%D8%AA_%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A_%D9%81%D9%8A_%D8%B9%D8%A7%D9%85_2022,2022_in_climate_change,26/10/2022,Arabic
Climate Change,ar,arq,33,12,4,8,5,0,19,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A_%D9%81%D9%8A_%D8%B9%D8%A7%D9%85_2023,2023_in_climate_change,12/12/2023,Arabic
Biodiversity Conservation,ar,arq,1199,18,7,5,43,0,25,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A5%D8%AC%D9%87%D8%A7%D8%AF_%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A,Abiotic_stress,23/5/2020,Arabic
Climate Change,ar,arq,381,22,5,4,14,0,107,https://ar.wikipedia.org/wiki/%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE_%D8%A7%D9%84%D9%85%D9%81%D8%A7%D8%AC%D8%A6,Abrupt_climate_change,29/2/2020,Arabic
Biodiversity Conservation,ar,arq,386,5,4,4,27,0,153,https://ar.wikipedia.org/wiki/%D9%88%D9%81%D8%B1%D8%A9_(%D8%B9%D9%84%D9%85_%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D8%A9),Abundance_(ecology),8/9/2019,Arabic
Public Health,ar,arq,230,3,2,7,9,0,8,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D8%B5%D9%85%D9%8A%D9%85_%D8%A7%D9%84%D9%86%D8%B4%D8%B7,Active_design,22/11/2019,Arabic
Public Health,ar,arq,646,6,6,5,13,0,7,https://ar.wikipedia.org/wiki/%D8%AA%D9%86%D9%82%D9%84_%D9%86%D8%B4%D8%B7,Active_mobility,14/11/2019,Arabic
Biodiversity Conservation,ar,arq,810,21,7,3,15,0,16,https://ar.wikipedia.org/wiki/%D8%A5%D8%AF%D8%A7%D8%B1%D8%A9_%D8%AA%D9%83%D9%8A%D9%81%D9%8A%D8%A9,Adaptive_management,29/10/2019,Arabic
Public Health,ar,arq,952,1,5,4,44,0,21,https://ar.wikipedia.org/wiki/%D8%AA%D8%AC%D8%A7%D8%B1%D8%A8_%D8%A7%D9%84%D8%B7%D9%81%D9%88%D9%84%D8%A9_%D8%A7%D9%84%D8%B3%D9%84%D8%A8%D9%8A%D8%A9,Adverse_childhood_experiences,8/1/2022,Arabic
Public Health,ar,arq,952,1,5,4,44,0,21,https://ar.wikipedia.org/wiki/%D8%AA%D8%AC%D8%A7%D8%B1%D8%A8_%D8%A7%D9%84%D8%B7%D9%81%D9%88%D9%84%D8%A9_%D8%A7%D9%84%D8%B3%D9%84%D8%A8%D9%8A%D8%A9,Adverse_Childhood_Experiences_movement,8/1/2022,Arabic
Biodiversity Conservation,ar,arq,1252,12,12,7,23,0,28,https://ar.wikipedia.org/wiki/%D8%AA%D9%86%D9%88%D8%B9_%D8%AD%D9%8A%D9%88%D9%8A_%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A,Agricultural_biodiversity,4/8/2017,Arabic
Biodiversity Conservation,ar,arq,2195,29,9,11,57,0,119,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%85_%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D8%A9_%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A,Agroecology,2/8/2016,Arabic
Public Health,ar,arq,897,19,9,3,46,0,29,https://ar.wikipedia.org/wiki/%D9%82%D9%8A%D8%A7%D8%B3_%D8%AA%D9%84%D9%88%D8%AB_%D8%A7%D9%84%D9%87%D9%88%D8%A7%D8%A1,Air_pollution_measurement,26/10/2022,Arabic
Biodiversity Conservation,ar,arq,1039,17,7,4,12,0,18,https://ar.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D9%8A%D8%B7%D8%A7%D9%86_%D9%85%D8%B9%D8%A7%D9%86,Assisted_migration,31/10/2019,Arabic
Public Health,ar,arq,74,1,1,7,7,0,4,https://ar.wikipedia.org/wiki/%D9%85%D9%8A%D8%AB%D8%A7%D9%82_%D8%A8%D8%A7%D9%86%D9%83%D9%88%D9%83_%D9%84%D8%AA%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A7%D9%84%D8%B5%D8%AD%D8%A9,Bangkok_Charter,13/11/2019,Arabic
Public Health,ar,arq,85,4,1,5,15,0,8,https://ar.wikipedia.org/wiki/%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1_%D8%A7%D9%84%D8%B3%D9%84%D9%88%D9%83_(%D9%81%D9%8A_%D8%A7%D9%84%D8%B5%D8%AD%D8%A9_%D8%A7%D9%84%D8%B9%D8%A7%D9%85%D8%A9),Behavior_change_(public_health),14/11/2019,Arabic
Biodiversity Conservation,ar,arq,2012,70,7,16,684,0,224,https://ar.wikipedia.org/wiki/%D8%AA%D9%86%D9%88%D8%B9_%D8%AD%D9%8A%D9%88%D9%8A,Biodiversity,5/6/2005,Arabic
Biodiversity Conservation,ar,arq,1039,13,12,5,9,0,28,https://ar.wikipedia.org/wiki/%D8%AE%D8%B7%D8%A9_%D8%B9%D9%85%D9%84_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A,Biodiversity_action_plan,4/11/2019,Arabic
Biodiversity Conservation,ar,arq,226,7,2,5,31,0,15,https://ar.wikipedia.org/wiki/%D8%A8%D8%A4%D8%B1%D8%A9_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A,Biodiversity_hotspot,27/5/2020,Arabic
Biodiversity Conservation,ar,arq,810,11,7,4,21,0,13,https://ar.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%B5%D9%84%D8%A7%D8%AD_%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D8%A9_%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9,Biodiversity_in_agriculture,15/9/2018,Arabic
Biodiversity Conservation,ar,arq,151,0,1,7,8,0,7,https://ar.wikipedia.org/wiki/%D8%B4%D8%B1%D8%A7%D9%83%D8%A9_%D9%85%D8%A4%D8%B4%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%A8%D9%8A%D9%88%D9%84%D9%88%D8%AC%D9%8A,Biodiversity_Indicators_Partnership,1/1/2019,Arabic
Biodiversity Conservation,ar,arq,1454,27,7,11,113,0,87,https://ar.wikipedia.org/wiki/%D9%81%D9%82%D8%AF%D8%A7%D9%86_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%A8%D9%8A%D9%88%D9%84%D9%88%D8%AC%D9%8A,Biodiversity_loss,27/5/2019,Arabic
Biodiversity Conservation,ar,arq,1019,15,7,6,13,0,14,https://ar.wikipedia.org/wiki/%D8%AA%D8%B9%D9%88%D9%8A%D8%B6_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A,Biodiversity_offsetting,12/11/2019,Arabic
Biodiversity Conservation,ar,arq,368,10,6,3,132,0,11,https://ar.wikipedia.org/wiki/%D8%A8%D9%8A%D9%88%D9%81%D9%8A%D9%84%D9%8A%D8%A7,Biophilia_hypothesis,23/10/2009,Arabic
Biodiversity Conservation,ar,arq,425,10,4,12,29,0,217,https://ar.wikipedia.org/wiki/%D8%AA%D9%86%D9%82%D9%8A%D8%A8_%D8%AD%D9%8A%D9%88%D9%8A,Bioprospecting,5/6/2005,Arabic
Biodiversity Conservation,ar,arq,355,9,3,5,7,0,23,https://ar.wikipedia.org/wiki/%D9%85%D8%B1%D9%88%D9%86%D8%A9_%D8%AD%D9%8A%D9%88%D9%8A%D8%A9,Bioresilience,23/4/2020,Arabic
Biodiversity Conservation,ar,arq,1026,8,13,3,12,0,11,https://ar.wikipedia.org/wiki/%D8%AA%D8%AC%D8%A7%D9%86%D8%B3_%D8%AD%D9%8A%D9%88%D9%8A,Biotic_homogenization,12/11/2019,Arabic
Biodiversity Conservation,ar,arq,150,2,1,15,15,0,7,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D9%86%D8%B8%D9%85%D8%A9_%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9_%D9%84%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%A8%D9%8A%D9%88%D9%84%D9%88%D8%AC%D9%8A,Bioversity_International,6/10/2018,Arabic
Public Health,ar,arq,447,15,6,5,117,0,72,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%A8%D8%A7%D8%B9%D8%AF%D8%A9_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D9%88%D9%84%D8%A7%D8%AF%D8%A7%D8%AA,Birth_spacing,3/7/2019,Arabic
Public Health,ar,arq,556,22,6,4,70,0,26,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%81%D8%B6%D8%A7%D8%A1_%D8%A7%D9%84%D8%A3%D8%B2%D8%B1%D9%82,Blue_space,24/2/2022,Arabic
Public Health,ar,arq,355,8,2,3,15,0,21,https://ar.wikipedia.org/wiki/%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%B5%D9%88%D8%B1%D8%A9_%D8%A7%D9%84%D8%AC%D8%B3%D9%85,Body_image_law,21/4/2020,Arabic
Biodiversity Conservation,ar,arq,912,12,7,5,8,0,7,https://ar.wikipedia.org/wiki/%D8%AD%D8%AC%D9%85_%D8%A7%D9%84%D8%AC%D8%B3%D9%85_%D9%88%D8%AB%D8%B1%D8%A7%D8%A1_%D8%A7%D9%84%D9%86%D9%88%D8%B9,Body_size_and_species_richness,14/11/2019,Arabic
Biodiversity Conservation,ar,arq,260,2,7,3,228,0,18,https://ar.wikipedia.org/wiki/%D9%85%D9%86%D8%B7%D9%82%D8%A9_%D8%B9%D8%A7%D8%B2%D9%84%D8%A9,Buffer_zone,10/10/2014,Arabic
Biodiversity Conservation,ar,arq,1461,1,12,9,37,0,52,https://ar.wikipedia.org/wiki/%D8%A8%D8%B1%D9%88%D8%AA%D9%88%D9%83%D9%88%D9%84_%D9%82%D8%B1%D8%B7%D8%A7%D8%AC%D9%86%D8%A9_%D8%A8%D8%B4%D8%A3%D9%86_%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85%D8%A9_%D8%A7%D9%84%D8%A3%D8%AD%D9%8A%D8%A7%D8%A6%D9%8A%D8%A9,Cartagena_Protocol_on_Biosafety,14/3/2015,Arabic
Biodiversity Conservation,ar,arq,1635,29,10,6,49,0,107,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D9%87%D9%85%D8%A9_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A_%D8%A7%D9%84%D8%A3%D8%AE%D9%8A%D8%B1,Causes_of_climate_change,7/12/2019,Arabic
Public Health,ar,arq,1285,19,10,9,85,0,115,https://ar.wikipedia.org/wiki/%D9%85%D9%88%D8%AA_%D8%A7%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84,Child_mortality,31/10/2010,Arabic
Climate Change,ar,arq,3110,92,17,29,NA,4,551,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D8%A8%D8%A7%D8%B3_%D8%A7%D9%84%D8%AD%D8%B1%D8%A7%D8%B1%D9%8A,Climate_change,14/2/2007,Arabic
Climate Change,ar,arq,1585,25,7,12,97,0,24,https://ar.wikipedia.org/wiki/%D8%AA%D9%83%D9%8A%D9%81_%D9%85%D8%B9_%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE,Climate_change_adaptation,17/7/2017,Arabic
Climate Change,ar,arq,3988,28,16,6,28,0,55,https://ar.wikipedia.org/wiki/%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE_%D9%88%D8%A7%D9%84%D9%85%D8%AF%D9%86,Climate_change_and_cities,19/10/2022,Arabic
Climate Change,ar,arq,424,2,6,6,19,0,105,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%AA%D9%82%D8%A7%D8%B6%D9%8A_%D8%A8%D8%B4%D8%A3%D9%86_%D8%AA%D8%BA%D9%8A%D8%B1_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE,Climate_change_litigation,1/5/2021,Arabic
Climate Change,ar,arq,996,2,6,5,66,0,9,https://ar.wikipedia.org/wiki/%D8%A3%D8%B2%D9%85%D8%A9_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE,Climate_crisis,19/4/2020,Arabic
Climate Change,ar,arq,1504,39,7,5,18,0,19,https://ar.wikipedia.org/wiki/%D8%A5%D8%B9%D9%84%D8%A7%D9%86_%D8%AD%D8%A7%D9%84%D8%A9_%D8%A7%D9%84%D8%B7%D9%88%D8%A7%D8%B1%D8%A6_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A%D8%A9,Climate_emergency_declaration,24/2/2020,Arabic
Climate Change,ar,arq,933,37,7,11,57,0,33,https://ar.wikipedia.org/wiki/%D9%87%D9%86%D8%AF%D8%B3%D8%A9_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE,Climate_engineering,13/12/2019,Arabic
Climate Change,ar,arq,333,4,1,7,5,0,8,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%85_%D8%A7%D9%84%D9%86%D9%81%D8%B3_%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%AE%D9%8A,Climate_psychology,4/4/2021,Arabic
Climate Change,ar,arq,1092,18,4,5,10,0,20,https://ar.wikipedia.org/wiki/%D8%A3%D9%85%D9%86_%D9%85%D9%86%D8%A7%D8%AE%D9%8A,Climate_security,24/2/2020,Arabic
Public Health,ar,arq,862,18,6,5,326,0,65,https://ar.wikipedia.org/wiki/%D8%B5%D8%AD%D8%A9_%D8%A7%D9%84%D9%85%D8%AC%D8%AA%D9%85%D8%B9,Community_health,8/8/2017,Arabic
Public Health,ar,arq,3158,71,23,4,101,0,143,https://ar.wikipedia.org/wiki/%D9%85%D8%B1%D8%A7%D8%B6%D8%A9_%D9%85%D8%B4%D8%AA%D8%B1%D9%83%D8%A9,Comorbidity,30/1/2015,Arabic
Public Health,ar,arq,106,3,1,5,11,0,11,https://ar.wikipedia.org/wiki/%D8%B6%D8%BA%D8%B7_%D8%A7%D9%86%D8%AA%D8%B4%D8%A7%D8%B1_%D8%A7%D9%84%D9%85%D8%B1%D8%B6,Compression_of_morbidity,8/12/2010,Arabic
Biodiversity Conservation,ar,arq,2393,5,12,6,47,0,13,https://ar.wikipedia.org/wiki/%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9_%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9,Conservation_agriculture,17/2/2018,Arabic
Climate Change,ar,arq,595,18,6,20,43,0,312,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%85_%D8%A7%D9%84%D8%AD%D9%81%D8%B8_%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D9%8A,Conservation_biology,30/11/2007,Arabic
Biodiversity Conservation,ar,arq,758,7,6,5,6,0,78,https://ar.wikipedia.org/wiki/%D8%AA%D9%86%D9%85%D9%8A%D8%A9_%D8%AD%D9%81%D8%A7%D8%B8%D9%8A%D8%A9,Conservation_development,29/10/2019,Arabic
Biodiversity Conservation,ar,arq,1055,14,5,19,31,1,145,https://ar.wikipedia.org/wiki/%D8%AD%D8%B1%D9%83%D8%A9_%D8%A7%D9%84%D8%AD%D9%81%D8%A7%D8%B8_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%A8%D9%8A%D8%A6%D8%A9,Conservation_movement,23/12/2019,Arabic
Biodiversity Conservation,ar,arq,1415,9,7,3,8,0,17,https://ar.wikipedia.org/wiki/%D8%B9%D9%84%D9%85_%D9%86%D9%81%D8%B3_%D8%A7%D9%84%D8%AD%D9%81%D8%A7%D8%B8,Conservation_psychology,13/7/2013,Arabic
Biodiversity Conservation,ar,arq,869,8,7,10,NA,0,35,https://ar.wikipedia.org/wiki/%D8%AD%D8%A7%D9%84%D8%A9_%D8%AD%D9%81%D8%B8,Conservation_status,3/7/2008,Arabic
Biodiversity Conservation,ar,arq,392,6,6,9,30,0,136,https://ar.wikipedia.org/wiki/%D8%A3%D9%86%D9%88%D8%A7%D8%B9_%D9%85%D8%B9%D8%AA%D9%85%D8%AF%D8%A9_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%AD%D9%81%D8%B8,Conservation-reliant_species,26/2/2021,Arabic
Public Health,ar,arq,539,4,7,5,22,0,87,https://ar.wikipedia.org/wiki/%D9%85%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9_%D9%85%D8%AE%D8%A7%D9%84%D8%B7%D9%8A_%D8%A7%D9%84%D9%85%D8%B1%D8%B6%D9%89,Contact_tracing,2/12/2019,Arabic
Biodiversity Conservation,ar,arq,1532,1,29,21,110,0,141,https://ar.wikipedia.org/wiki/%D8%A7%D8%AA%D9%81%D8%A7%D9%82%D9%8A%D8%A9_%D8%A7%D9%84%D8%AA%D9%86%D9%88%D8%B9_%D8%A7%D9%84%D8%A8%D9%8A%D9%88%D9%84%D9%88%D8%AC%D9%8A,Convention_on_Biological_Diversity,14/3/2015,Arabic
Public Health,ar,arq,248,1,1,11,88,1,12,https://ar.wikipedia.org/wiki/%D8%A7%D8%AA%D9%81%D8%A7%D9%82%D9%8A%D8%A9_%D8%A7%D9%84%D9%85%D8%A4%D8%AB%D8%B1%D8%A7%D8%AA_%D8%A7%D9%84%D8%B9%D9%82%D9%84%D9%8A%D8%A9,Convention_on_Psychotropic_Substances,10/4/2015,Arabic
Public Health,ar,arq,559,31,10,6,26,0,20,https://ar.wikipedia.org/wiki/%D8%AD%D8%B2%D8%A7%D9%85_%D8%B5%D8%AD%D9%8A,Cordon_sanitaire_(medicine),19/12/2019,Arabic
Public Health,ar,arq,4903,196,21,30,NA,0,877,https://ar.wikipedia.org/wiki/%D9%85%D8%B1%D8%B6_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_2019,COVID-19,7/2/2020,Arabic
